20443,toledo,1987,MAC,0.556,70,Andy Fisher,27,0,0,0.47,0.477,0,0.741,5.9,0.9,0.8,0.4,0,9.9,Jay Eck 
20444,rice,1987,SWC,0.222,69.1,Andy Gilchrist,27,27,26,0.48,0.482,0,0.587,5.4,1.3,0.4,0.2,2,9.8,Scott Thompson 
20445,portland,1987,WCAC,0.214,70.7,Andy Johnson,26,3,12.2,0.367,0.363,0.5,0.69,2.1,0.7,0.5,0.2,1,4.5,Larry Steele 
20446,depaul,1987,Ind,0.733,78.9,Andy Laux,30,0,0,0.406,0.333,0.423,0.875,1.3,1.4,0.9,0.1,0,4.2,Joey Meyer 
20447,winthrop,1987,Big South,0.567,65.6,Andy McKoy,14,1,9.9,0.325,0.294,0.5,0.4,2,0.7,0.3,0.3,1,2.2,Steve Vacendak 
20448,southern-california,1987,Pac-10,0.25,62.1,Andy Olivarez,28,0,0,0.407,0.429,0.398,0.696,1.3,1.4,0.9,0.1,0,7.3,George Raveling 
20449,marshall,1987,Southern,0.75,83.8,Andy Paul Williamson,32,0,0,0.484,0.533,0.289,0.742,3.8,5.3,1.2,0.1,0,8.7,Rick Huckabay 
20450,brigham-young,1987,WAC,0.813,85.5,Andy Toolson,32,22,19.1,0.43,0.453,0.397,0.736,2.8,1.3,0.5,0.1,0.7,6,Ladell Andersen 
20451,tennessee-tech,1987,OVC,0.429,73,Andy Walker,24,0,0,0.483,0.5,0.286,0.652,5,3,0.5,0.2,0,9.6,Tom Deaton 
20452,lafayette,1987,ECC,0.655,70.2,Andy Wescoe,29,23,26.3,0.5,0.506,0.485,0.814,1.5,2.4,1.2,0,1.6,9.9,Butch van Breda Kolff 
20453,fairfield,1987,MAAC,0.286,63.7,Andy Woodtli,9,4,8.9,0.5,0.5,0,0,1.7,0.2,0.1,0.3,1,0.9,Mitch Buonaguro 
20454,texas-southern,1987,SWAC,0.724,83.1,Angelo Garnett,28,1,0,0.456,0.455,0.457,0.674,5.4,2.5,1.3,0.9,0.1,10.3,Robert Moreland 
20455,southern-illinois,1987,MVC,0.429,83.6,Anthonie Lee,4,0,4.5,0.25,0.25,0,0.667,1.3,0.3,0,0,0.3,1.5,Rich Herrin 
