team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
dayton,1991,"MW Coll",0.5,71.7,"Alex Robertson",30,0,0,0.467,0.581,0.362,0.639,3.8,3.1,2.8,0.1,0,11.6,"Jim OBrien "
monmouth,1991,NEC,0.69,64.5,"Alex Sturm",18,0,0,0.667,0.667,0,0.5,3.6,1.1,0.3,0.7,0,2.7,"Wayne Szoke "
san-jose-state,1991,"Big West",0.077,63.4,"Alfonso DeLaNuez",18,7,13.7,0.288,0.308,0.269,0.786,1,1.8,0.5,0,1.9,2.7,"Stan Morrison "
california,1991,Pac-10,0.357,75.7,"Alfred Grigsby",25,18,25.2,0.576,0.576,0,0.583,6.2,0.8,0.3,0.5,1.8,10.2,"Lou Campanelli "
chicago-state,1991,Ind,0.25,78.7,"Alfred Stubbs",19,1,14.1,0.338,0.343,0.25,0.333,4.1,0.4,1.1,0.3,0.9,3,"Rick Pryor "
stephen-f-austin,1991,Southland,0.536,68.5,"Alfredo Porter",28,22,20.2,0.455,0.521,0.365,0.675,1.9,3.3,1.3,0,3,5.6,"Ned Fowler "
tennessee,1991,SEC,0.559,77.9,"Allan Houston",34,34,36.4,0.453,0.476,0.418,0.84,5.3,3.2,0.9,0.4,2.8,21.1,"Wade Houston "
centenary-la,1991,A-Sun,0.357,84.7,"Allan Jaster",26,0,0,0.488,0.5,0,0.646,3.7,0.2,0.3,0.3,0,4.3,"Tommy Vardeman "
texas-tech,1991,SWC,0.517,75.4,"Allen Austin",29,0,0,0.51,0.51,0,0.457,3.1,0.7,1,0.3,0,4.1,"James Dickey "
cincinnati,1991,GMWC,0.853,79,"Allen Jackson",34,0,0,0.377,0.402,0.327,0.682,1.2,2.4,1,0.2,0,5.6,"Bob Huggins "
texas-christian,1991,SWC,0.676,72.4,"Allen Tolley",34,0,0,0.472,0.486,0.4,0.771,2.9,1,0.5,0.5,0,6.1,"Moe Iba "
st-francis-ny,1991,NEC,0.517,71.4,"Allen West",26,0,0,0.288,0.311,0.211,0.583,2.3,0.7,1,0.3,0,2.2,"Ron Ganulin "
old-dominion,1991,CAA,0.5,74.7,"Allon Wright",25,0,0,0.32,0.32,0,0.667,1.2,0.2,0.1,0.2,0,1,"Oliver Purnell "
jacksonville,1991,"Sun Belt",0.414,78,"Alonzo Harris",29,0,0,0.484,0.504,0.211,0.645,6.8,1.2,1.3,0.1,0,12.9,"Matt Kilcullen "
kansas,1991,"Big 8",0.844,84.5,"Alonzo Jamison",32,32,26.9,0.556,0.575,0.313,0.676,4.6,3.6,2.6,0.5,2.8,10,"Roy Williams "
tennessee,1991,SEC,0.559,77.9,"Alonzo Johnson",31,0,5.9,0.487,0.487,0,0.5,1.3,0.1,0,0.5,0.3,1.6,"Wade Houston "
south-alabama,1991,"Sun Belt",0.5,86.1,"Alonzo Mitchell",11,6,12.3,0.4,0.4,0,0.3,3.1,0.5,0.5,0.2,0.9,3.5,"Ronnie Arrow "
alcorn-state,1991,SWAC,0.517,82.3,"Alonzo Moore",28,3,9.6,0.256,0.29,0.125,0.435,1.3,2.6,1,0,1.8,1.1,"Lonnie Walker "
ohio,1991,MAC,0.643,71,"Alonzo Motley",14,0,6.6,0.419,0.419,0,0.6,1.2,0.6,0.1,0.1,0.4,2.3,"Larry Hunter "
georgetown,1991,"Big East",0.688,73.2,"Alonzo Mourning",32,0,32.8,0.595,0.599,0.25,0.758,10.7,1.7,0.6,5,2.6,21.3,"John Thompson "
northeastern,1991,NAC,0.321,66.3,"Alphonso Barney",28,15,18.7,0.376,0.376,0,0.605,3.8,0.2,0.6,0.5,0.8,3.9,"Karl Fogel "
mississippi-valley-state,1991,SWAC,0.533,82.8,"Alphonso Ford",26,0,33.2,0.45,0.543,0.303,0.757,5.6,3.7,2.5,0.4,2.9,27.5,"Lafayette Stribling "
san-francisco,1991,WCC,0.448,80.3,"Alvin Brown",29,0,0,0.521,0.524,0,0.6,5,1.2,0.5,0.3,0,9.3,"Jim Brovelli "
texas-pan-american,1991,"Sun Belt",0.103,59.9,"Alvin Langley",26,5,10.8,0.309,0.354,0,0.636,1.5,0.5,0.4,0.1,0.8,1.8,"Kevin Wall "
george-washington,1991,A-10,0.571,73.3,"Alvin Pearsall",28,26,34.2,0.429,0.463,0.258,0.736,3.3,6.3,1.6,0.1,3.2,8.9,"Mike Jarvis "
rutgers,1991,A-10,0.516,78.7,"Alvin Rich",30,5,21.2,0.469,0.512,0.286,0.746,2.9,0.6,0.4,0.2,1,10,"Bob Wenzel "
bethune-cookman,1991,MEAC,0.138,72.4,"Alvin Wyatt",20,0,6,0.267,0.267,0,0.6,0.6,0.4,0.4,0,1.5,0.6,"Cy McClairen "
marquette,1991,GMWC,0.552,69.2,"Amal McCaskill",15,0,8,0.36,0.36,0,0.533,3.1,0.3,0.4,0.8,0.5,1.7,"Kevin ONeill "
kentucky,1991,SEC,0.806,85.7,"Aminu Timberlake",25,9,8.2,0.3,0.316,0,0.308,1.6,0.3,0.3,0.2,0.8,1.1,"Rick Pitino "
clemson,1991,ACC,0.5,76.6,"Andre Bovain",27,18,26.1,0.455,0.5,0.328,0.406,3.3,2.4,1.8,0.2,1.8,9.4,"Cliff Ellis "
delaware,1991,NAC,0.871,81.3,"Andre Buck",14,0,2.8,0.2,0.19,0.25,0.6,0.3,0.3,0.1,0.1,0.4,1,"Steve Steinwedel "
cal-state-northridge,1991,Ind,0.393,70.6,"Andre Chevalier",28,27,29.4,0.447,0.476,0.347,0.868,2.4,3.8,0.9,0.1,3.4,10.3,"Pete Cassidy "
oregon,1991,Pac-10,0.222,65.1,"Andre Collier",8,8,29,0.492,0.5,0.4,0.534,2.8,4.3,1.3,0.3,4.1,11.4,"Don Monson "
long-island-university,1991,NEC,0.379,80,"Andre Cradle",17,0,0,0.496,0.538,0.458,0.667,2.8,1.4,2.3,0.2,0,11.2,"Paul Lizzo "
drexel,1991,NAC,0.533,72.3,"Andre Daniel",12,0,0,0.167,0.167,0,0.9,0.6,0.2,0,0,0,1.1,"Bill Herrion "
