team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
princeton,2017,Ivy,0.448,72.6,"Jerome Desrosiers",27,10,15.4,0.444,0.514,0.416,0.76,2.7,1,0.2,0,0.7,6.2,"Mitch Henderson "
boston-college,2017,ACC,0.543,76.4,"Jerome Robinson",35,35,36,0.485,0.533,0.409,0.83,3.6,3.3,0.9,0.1,2.7,20.7,"Jim Christian "
fairfield,2017,MAAC,0.515,75.9,"Jerome Segura",30,17,19.6,0.386,0.381,0.4,0.696,1.1,2.4,0.6,0,1.1,4.2,"Sydney Johnson "
utah-valley,2017,WAC,0.676,78.1,"Jerrelle DeBerry",19,0,16.3,0.386,0.382,0.391,0.726,2.7,0.7,0.1,0.3,1.3,7.9,"Mark Pope "
weber-state,2017,"Big Sky",0.645,78.5,"Jerrick Harding",31,31,32.9,0.53,0.571,0.425,0.882,3.4,1.7,1.1,0.2,2.4,22,"Randy Rahe "
illinois-state,2017,MVC,0.545,71.6,"Jerron Martin",10,0,11,0.25,0.364,0.176,0.75,0.7,1.1,0.6,0,0.7,2,"Dan Muller "
texas-southern,2017,SWAC,0.444,77.4,"Jerry Perry",11,5,18.4,0.357,0.35,0.375,0.731,1.4,1.7,0.5,0,1.5,3.8,"Mike Davis "
manhattan,2017,MAAC,0.452,69.3,"Jesse Boyce",3,0,1,0,0,0,0,0.3,0,0,0,0,0,"Steve Masiello "
fordham,2017,A-10,0.29,62.3,"Jesse Bunting",5,1,9,0.7,0.7,0,1,2.2,0.2,0.2,0.2,0.2,3.2,"Jeff Neubauer "
eastern-washington,2017,"Big Sky",0.571,74.8,"Jesse Hunt",20,5,18.3,0.495,0.562,0.368,0.806,5.6,1.1,0.3,0.5,1.2,7.5,"Shantay Legans "
memphis,2017,AAC,0.618,70.8,"Jesse Johnson",1,0,2,0,0,0,0,0,0,0,0,0,0,"Tubby Smith "
american,2017,Patriot,0.2,65.4,"Jesse Little",23,16,18.8,0.531,0.581,0.167,0.519,3.3,0.8,0.5,0.9,1,2.9,"Mike Brennan "
jackson-state,2017,SWAC,0.375,62.2,"Jesse Love",31,9,18.6,0.406,0.432,0.375,0.467,1.5,0.8,0.3,0.1,0.5,2.4,"Wayne Brent "
gonzaga,2017,WCC,0.865,83.5,"Jesse Wade",19,0,5.2,0.31,0.5,0.28,0.333,0.4,0.2,0.3,0,0.2,1.4,"Mark Few "
georgetown,2017,"Big East",0.5,78.3,"Jessie Govan",30,30,32.7,0.508,0.529,0.348,0.761,10,2,0.6,1.1,1.7,17.9,"Patrick Ewing "
fairfield,2017,MAAC,0.515,75.9,"Jesus Cruz",33,24,27.1,0.431,0.511,0.281,0.556,4.4,1.4,1.6,0.2,1.5,9.1,"Sydney Johnson "
west-virginia,2017,"Big 12",0.703,80.1,"Jevon Carter",37,37,34.7,0.422,0.441,0.393,0.858,4.6,6.6,3,0.4,2.6,17.3,"Bob Huggins "
texas-san-antonio,2017,CUSA,0.571,78.3,"Jhivvan Jackson",29,9,25.7,0.431,0.497,0.368,0.768,3.2,1.8,1,0.1,2.4,18.4,"Steve Henson "
canisius,2017,MAAC,0.636,76.3,"Jibreel Faulkner",17,1,14.6,0.463,0.551,0.323,0.524,2.2,0.8,0.5,0.1,0.7,5.6,"Reggie Witherspoon "
sacramento-state,2017,"Big Sky",0.219,67.4,"Jiday Ugbaja",6,0,8,0.417,0.364,1,0,1.5,1.8,0.3,0,0.8,1.8,"Brian Katz "
