id,team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
883,montana-state,1981,Big Sky,0.379,65.7,Doug Hashley,29,29,34.4,0.592,0,0,0.569,10.8,2.4,1,0.1,2.4,13.4,Bruce Haroldson 
884,iowa-state,1981,Big 8,0.37,67.4,Doug Jones,7,0,3.7,0.667,0,0,0.667,0.6,0,0.1,0,0.1,1.1,Johnny Orr 
885,cincinnati,1981,Metro,0.556,68.9,Doug Kecman,10,0,3.9,0.318,0,0,0,0.6,0.2,0.1,0,0.2,1.4,Ed Badger 
886,stanford,1981,Pac-10,0.259,66.9,Doug Marty,27,26,34,0.396,0,0,0.735,1.8,2.3,0.6,0,0,7,Dick DiBiaso 
887,duke,1981,ACC,0.37,64,Doug McNeely,25,15,22.7,0.475,0,0,0.647,3.2,0.9,0.8,0.1,2,4.6,Mike Krzyzewski 
888,oregon-state,1981,Pac-10,0.833,69.6,Doug Muench,1,0,1,0,0,0,0,0,0,0,0,0,0,Ralph Miller 
889,virginia,1981,ACC,0.882,70.7,Doug Newburg,18,0,2.6,0.2,0,0,0.5,0.4,0.5,0.2,0,0.4,0.6,Terry Holland 
890,siena,1981,ECACM,0.536,70.2,Doug Poetzsch,27,5,20.3,0.615,0,0,0.746,3.1,0.8,0.3,0,1,6.8,Bill Kirsch 
891,cincinnati,1981,Metro,0.556,68.9,Doug Schloemer,25,1,15,0.49,0,0,0.667,1.9,1.9,0.5,0,1,4.8,Ed Badger 
892,montana,1981,Big Sky,0.63,65.4,Doug Selvig,26,23,30.6,0.477,0,0,0.813,3.7,3.7,1.7,0.7,2.8,10.9,Mike Montgomery 
893,arkansas-state,1981,Southland,0.577,59,Doug Shouse,2,0,0,1,0,0,0.5,0.5,0,0,0,0.5,2.5,Marvin Adams 
894,samford,1981,A-Sun,0.423,67.9,Doug Smith,7,0,0,0.5,0,0,0.8,0.4,0.1,0,0,0,2,Mike Hanks 
895,george-washington,1981,EAA,0.481,62.9,Doug Vander Wal,16,0,5.1,0.667,0,0,0.556,1.3,0.1,0,0,0,1.6,Gerry Gimelstob 
896,vanderbilt,1981,SEC,0.536,67,Doug Weikert,9,0,2.7,0.75,0,0,0.6,0.2,0.1,0,0,0.6,1,C.M. Newton 
897,charleston-southern,1981,Ind,0.5,62.2,Doug Young,21,0,0,0.45,0,0,0.5,2,0,0,0,0,2.9,Phil Carter 
898,northwestern-state,1981,A-Sun,0.679,78.5,Drew Herrick,18,0,0,0.7,0,0,0.471,1,0,0,0,0,1.2,Wayne Yates 
899,army,1981,MAAC,0.185,53.5,Drew ODonnell,26,13,16.7,0.44,0,0,0.674,1.5,1,0.3,0,0,5.1,Pete Gaudet 
900,nebraska,1981,Big 8,0.571,63.1,Drew Stange,9,0,3.4,0,0,0,0,0.6,0.2,0.3,0.1,0.4,0,Moe Iba 
901,louisiana-state,1981,SEC,0.5,67.9,Drexal Allen,26,0,9.7,0.425,0,0,0.738,0.7,0.4,0.5,0,0,3.6,Dale Brown 
902,gonzaga,1981,WCAC,0.556,64.9,Duane Bergeson,27,0,30.2,0.502,0,0,0.765,5.7,0.9,0.2,0.5,1.6,10.7,Jay Hillock 
903,south-carolina,1981,Ind,0.483,73.3,Duane Kendall,28,8,14.5,0.536,0,0,0.587,2.8,0.6,0.1,0.3,1.2,5.8,Bill E. Foster 
904,fordham,1981,MAAC,0.621,64.3,Dud Tongal,25,0,25.4,0.513,0,0,0.765,4.1,0.2,0.4,2.3,1.9,9.8,Tommy Penders 
905,maryland,1981,ACC,0.552,61.3,Dutch Morley,29,25,27.1,0.552,0,0,0.972,1.6,4.3,1.1,0.1,1.7,4.5,Lefty Driesell 
906,boston-college,1981,Big East,0.688,77.8,Dwan Chandler,32,25,24.9,0.378,0,0,0.558,1.9,1.1,1,0.1,1.5,5.3,Tom Davis 
907,middle-tennessee,1981,OVC,0.733,64.3,Dwayne Dorsey,29,4,15.8,0.371,0,0,0.64,2.4,0.8,0.2,0.1,1,3.9,Stan Simpson 
908,northern-iowa,1981,Ind,0.444,61.1,Dwayne Jackson,26,0,0,0.407,0,0,0.636,2.6,0,0,0,0,5.3,Jim Berry 
909,marquette,1981,Ind,0.719,69.9,Dwayne Johnson,30,0,18,0.505,0,0,0.61,3.7,0.4,0.7,0.3,0,8.3,Hank Raymonds 
910,villanova,1981,Big East,0.75,73.7,Dwayne McClain,30,0,27.6,0.603,0,0,0.685,2.4,2.5,1.1,0.3,2.1,10.4,Rollie Massimino 
911,nevada-las-vegas,1981,Ind,0.667,75.3,Dwayne Polee,27,5,22.5,0.523,0,0,0.67,3.5,1.3,1,0.2,0,8.4,Jerry Tarkanian 
912,grambling,1981,SWAC,0.414,69.4,Dwayne Texas,20,0,12.4,0.4,0,0,0.467,2.6,0.3,0.3,0,0.7,2.7,Fred Hobdy 
913,illinois-state,1981,MVC,0.586,66.4,Dwayne Tyus,29,0,31.9,0.448,0,0,0.686,2,3.2,0.8,0.1,1.7,10,Bob Donewald 
914,pittsburgh,1981,EAA,0.667,68.8,Dwayne Wallace,30,0,34.8,0.446,0,0,0.767,2.1,6.2,2.4,0.2,0,11.4,Roy Chipman 
915,san-jose-state,1981,PCAA,0.5,57.5,Dwayne Warner,24,0,18.3,0.452,0,0,0.545,2.1,0.8,0,0,0,5.2,Bill Berry 
916,southern-california,1981,Pac-10,0.679,71.9,Dwight Anderson,27,0,35,0.493,0,0,0.702,4.1,2,0.7,0.1,0,20.3,Stan Morrison 
917,temple,1981,ECC,0.704,68.1,Dwight Forrester,10,0,0,0.375,0,0,0,0.4,0,0.1,0,0,0.6,Don Casey 
918,penn-state,1981,Ind,0.556,61.4,Dwight Gibson,27,0,24.9,0.448,0,0,0.656,2.6,4.2,1.3,0,3.4,5.6,Dick Harter 
919,cincinnati,1981,Metro,0.556,68.9,Dwight Jones,27,27,37.7,0.537,0,0,0.682,10,1.3,0.6,0.5,1.9,15,Ed Badger 
920,wyoming,1981,WAC,0.767,62.8,Dwight McClendon,30,0,34.1,0.418,0,0,0.674,3.1,2.7,0.5,0.2,1.1,5.8,Jim Brandenburg 
921,texas-tech,1981,SWC,0.607,73.4,Dwight Phillips,23,0,8.2,0.5,0,0,0.545,1.8,0.1,0.2,0.3,0.4,1.9,Gerald Myers 
922,long-island-university,1981,ECACM,0.667,86.8,Earl Fuller,30,0,0,0.48,0,0,0.77,2.3,3.1,1.7,0,0,15.1,Paul Lizzo 
923,auburn,1981,SEC,0.5,69.1,Earl Hayes,8,0,11.3,0.636,0,0,0.583,2.8,0.8,0.3,0.6,1,6.1,Sonny Smith 
924,detroit-mercy,1981,MW City,0.37,68.4,Earl Sims,5,0,5,0.5,0,0,1,0.2,0,0,0,0.2,1.2,Willie McCarter 
925,northwestern-state,1981,A-Sun,0.679,78.5,Earnest Reliford,28,0,0,0.577,0,0,0.856,6,0,0,0,0,13.1,Wayne Yates 
926,canisius,1981,ECACN,0.704,74.6,Ed Becton,19,1,9.5,0.4,0,0,0.857,1.9,0,0,0,0.6,1.2,Nick Macarchuk 
927,robert-morris,1981,ECACM,0.567,71.1,Ed Bombich,16,0,0,0.471,0,0,0.588,2.1,1,0.4,0,0.6,1.6,Matt Furjanic 
928,temple,1981,ECC,0.704,68.1,Ed Coe,27,0,0,0.47,0,0,0.76,2.2,3.1,1.1,0,0,7.8,Don Casey 
929,kansas-state,1981,Big 8,0.742,67.6,Ed Galvao,27,10,17.4,0.46,0,0,0.615,2.3,2,0.4,0,0,3.9,Jack Hartman 
930,iona,1981,MAAC,0.727,74.1,Ed Gooding,15,2,7.2,0.452,0,0,0.625,2.3,0.2,0.1,0.1,0.4,2.5,Pat Kennedy 
931,kent-state,1981,MAC,0.385,67.3,Ed Kaminski,26,0,22.5,0.457,0,0,0.628,5.7,0.4,0.4,0.4,0,6,Ed Douma 
932,virginia-military-institute,1981,Southern,0.038,61.7,Ed Kluckowski,26,0,13.3,0.42,0,0,0.75,2.3,0.6,0,0,0.7,3.5,Charlie Schmaus 
933,tennessee,1981,SEC,0.667,65.5,Ed Littleton,5,4,22.4,0.5,0,0,0.667,1.6,2.6,1.4,0.2,0.8,5.2,Don DeVoe 
934,saint-francis-pa,1981,ECACM,0.231,71.3,Ed McCallister,25,8,18.6,0.312,0,0,0.645,1.2,3,1.6,0.1,1.5,5.1,Dave Magarity 
935,kansas-state,1981,Big 8,0.742,67.6,Ed Nealy,31,31,35.9,0.568,0,0,0.615,8.6,2.4,1.3,0.4,0,11.3,Jack Hartman 
936,vermont,1981,ECACN,0.385,73.5,Ed Pagano,13,0,0,0.2,0,0,0.5,0.9,0,0,0,0,0.8,Bill Whitmore 
937,citadel,1981,Southern,0.5,67.9,Ed Paone,26,0,0,0.188,0,0,0.709,0.4,0.9,0.1,0,0,2,Les Robinson 
938,nevada-las-vegas,1981,Ind,0.667,75.3,Ed Pawlek,4,0,6.3,1,0,0,1,0.8,1,0.8,0.3,0,3.5,Jerry Tarkanian 
939,middle-tennessee,1981,OVC,0.733,64.3,Ed Perry,28,0,0,0.446,0,0,0.417,1.4,0,0,0,0,6.1,Stan Simpson 
940,villanova,1981,Big East,0.75,73.7,Ed Pinckney,32,0,33.8,0.64,0,0,0.714,7.8,1.4,1.6,2,2.2,14.2,Rollie Massimino 
941,hawaii,1981,WAC,0.63,69,Ed Racky Sesler,27,24,30.7,0.483,0,0,0.565,2.4,4.1,0,0,2.6,9.5,Larry Little 
942,bucknell,1981,ECC,0.259,62.1,Ed Sigl,25,0,15.1,0.486,0,0,0.645,2.8,0.4,0.2,0.1,0,5,Charles Woollum 
943,american,1981,ECC,0.7,75.2,Ed Sloane,29,28,37,0.488,0,0,0.632,4.9,1.3,1.9,0,3.7,16.8,Gary Williams 
944,georgetown,1981,Big East,0.811,67.6,Ed Spriggs,36,1,16.9,0.438,0,0,0.674,3.2,0.3,0.5,0.4,0.6,3,John Thompson 
945,utica,1981,Ind,0.154,57.2,Ed Stevenson,23,0,0,0.597,0,0,0.586,2.9,0,0,0,0,4.7,Larry Costello 
946,howard,1981,MEAC,0.607,66.3,Ed Swails,25,0,0,0.367,0,0,0.535,1.1,0,0,0,0,3.8,A.B. Williamson 
947,san-jose-state,1981,PCAA,0.5,57.5,Ed Uthoff,26,0,15.9,0.429,0,0,0.737,2.1,0.5,0,0,0,2.5,Bill Berry 
948,alcorn-state,1981,SWAC,0.733,80.3,Eddie Archie,29,25,30.4,0.404,0,0,0.791,3.5,5.6,2.8,0.2,3.7,9.2,Davey Whitney 
949,kansas-state,1981,Big 8,0.742,67.6,Eddie Elder,6,0,3.3,0,0,0,0.25,1.2,0,0.2,0,0,0.2,Jack Hartman 
950,eastern-michigan,1981,MAC,0.556,67.1,Eddie Frieson,1,0,4,1,0,0,0,0,0,2,0,0,2,Jim Boyce 
951,oklahoma-state,1981,Big 8,0.556,71.4,Eddie Hannon,26,24,27.5,0.428,0,0,0.716,2,5.4,1,0.3,2.4,7.5,Paul Hansen 
952,bradley,1981,MVC,0.722,69.3,Eddie Harris,26,0,5.5,0.446,0,0,0.6,0.6,0.3,0,0.1,0,2.4,Dick Versace 
953,ohio,1981,MAC,0.481,64.1,Eddie Hicks,27,0,23.4,0.467,0,0,0.683,4.4,1.3,0,0.2,2,5.2,Danny Nee 
954,colorado-state,1981,WAC,0.296,56.9,Eddie Hughes,26,0,32,0.455,0,0,0.661,3.9,3.6,0,0,0,9.4,Tony McAndrews 
955,xavier,1981,MW City,0.286,65.8,Eddie Johnson,28,17,19.5,0.422,0,0,0.608,3.3,0.7,0.5,0.5,1.6,4.6,Bob Staak 
956,eastern-illinois,1981,Ind,0.519,69.5,Eddie Jones,17,12,18.1,0.369,0,0,0.607,2.4,0.6,0.3,0,1.4,5.5,Rick Samuels 
957,oklahoma-city,1981,MW City,0.5,62.8,Eddie Louie,28,0,20,0.449,0,0,0.676,2.6,0.3,0.3,0.1,0.7,5.3,Lonnie Nichols 
958,bradley,1981,MVC,0.722,69.3,Eddie Mathews,29,0,13.6,0.302,0,0,0.651,0.7,1.8,0,0,0,1.9,Dick Versace 
959,san-diego-state,1981,WAC,0.69,73,Eddie Morris,28,18,19.8,0.437,0,0,0.682,1.9,1.3,1.6,0,1,7.7,Smokey Gaines 
960,alabama,1981,SEC,0.774,76.6,Eddie Phillips,30,0,30.9,0.509,0,0,0.775,8.6,0.3,0,0,0,15.5,Wimp Sanderson 
961,georgia-state,1981,Ind,0.148,61.7,Eddie Rush,2,0,3.5,0,0,0,0,0,0.5,0,0,1,0,Jim Jarrett 
962,charleston-southern,1981,Ind,0.5,62.2,Eddie Talley,26,0,0,0.516,0,0,0.747,4.8,0,0,0,0,11.5,Phil Carter 
963,holy-cross,1981,ECACN,0.593,69.1,Eddie Thurman,27,27,0,0.493,0,0,0.761,3.9,4.8,1.4,0.2,3.3,14,George Blaney 
964,george-washington,1981,EAA,0.481,62.9,Eddie Vidal,0,0,0,0,0,0,0,0,0,0,0,0,0,Gerry Gimelstob 
965,san-diego-state,1981,WAC,0.69,73,Eddy Gordon,29,8,17.8,0.573,0,0,0.408,4.8,0.3,1.2,0.2,0.9,5.7,Smokey Gaines 
966,st-francis-ny,1981,ECACM,0.37,65.1,Edgar DeLaRosa,27,25,32.4,0.449,0,0,0.8,2,5.7,2.3,0.5,2.8,9.7,Gene Roberti 
967,southern-mississippi,1981,Ind,0.577,73.8,Edgar Eason,26,20,30,0.438,0,0,0.605,2.8,2.9,2.1,0.1,2.5,10.3,M.K. Turk 
968,fordham,1981,MAAC,0.621,64.3,Edward Bona,29,0,29.3,0.612,0,0,0.689,4.6,0.7,0.4,0.9,1.3,8.3,Tommy Penders 
969,west-chester,1981,ECC,0.481,70.1,Edward Evans,12,0,0,0.391,0,0,0.563,1,0,0,0,0,2.3,Earl Voss 
970,southern-illinois,1981,MVC,0.407,66,Edward Thomas,7,0,0,0.45,0,0,0.4,2,0,0,0,0,3.1,Allen Van Winkle 
971,north-carolina-wilmington,1981,Ind,0.481,61.9,Edward Timmons,26,0,0,0.518,0,0,0.708,2,0.9,0.9,0,1.9,10,Mel Gibson 
972,massachusetts,1981,EAA,0.259,60.5,Edwin Green,26,25,31.8,0.498,0,0,0.592,6,1,0,1,0,10.2,Tom McLaughlin 
973,long-island-university,1981,ECACM,0.667,86.8,Edwin Villanueva,11,0,0,0.167,0,0,0.444,0.5,0,0,0,0,0.5,Paul Lizzo 
974,st-bonaventure,1981,EAA,0.5,62.5,Elgin Riggins,0,0,0,0,0,0,0,0,0,0,0,0,0,Jim Satalin 
975,bethune-cookman,1981,MEAC,0.357,65.3,Elijah Wells,25,0,0,0.438,0,0,0.6,2.8,2.9,1.2,0.2,0,9.1,Cy McClairen 
976,tulane,1981,Metro,0.679,66.6,Elton Webster,27,19,25.9,0.402,0,0,0.808,4,1.4,0,0.2,1.7,5.2,Ned Fowler 
977,chattanooga,1981,Southern,0.871,72.6,Elvis Mitchell,15,0,3.2,0.25,0,0,0.5,0.4,0,0.1,0,0.6,0.5,Murray Arnold 
978,evansville,1981,MW City,0.793,71.8,Emir Turam,29,29,22.9,0.574,0,0,0.611,4.9,0.6,0.5,1,1.7,7.5,Dick Walters 
979,louisiana-tech,1981,Southland,0.407,61.9,Emmerson Wafer,27,0,0,0.506,0,0,0.887,2.9,0,0,0,0,11.1,Andy Russo 
980,north-carolina-state,1981,ACC,0.688,57.5,Emmett Lay,11,0,0,0.5,0,0,0,0.3,0,0,0,0,0.2,Jim Valvano 
981,mississippi-valley-state,1981,SWAC,0.231,70.6,Emmitt Stevenson,11,0,0,0,0,0,0,0.3,0,0,0,0,0,Pop Gaines 
982,alabama,1981,SEC,0.774,76.6,Ennis Whatley,31,0,32.1,0.495,0,0,0.721,2.5,5.7,1.4,0.2,3.6,12.1,Wimp Sanderson 
983,texas-el-paso,1981,WAC,0.714,62.6,Eric Alexander,21,0,6.6,0.524,0,0,0.733,0.4,0.9,0.4,0,0.9,2.1,Don Haskins 
984,boise-state,1981,Big Sky,0.462,74.5,Eric Bailey,26,22,26.2,0.475,0,0,0.667,3.6,2.2,1,0.2,1.8,11.2,Dave Leach 
985,san-francisco,1981,WCAC,0.806,81.5,Eric Booker,31,0,22.1,0.429,0,0,0.623,2.5,2.1,1.1,0.1,1.4,5.7,Peter Barry 
986,north-carolina-at,1981,MEAC,0.679,70.1,Eric Boyd,28,0,0,0.521,0,0,0.729,2.3,2.5,1.4,0.2,3.1,8.1,Don Corbett 
987,northern-arizona,1981,Big Sky,0.231,61.5,Eric Bradley,25,15,23,0.477,0,0,0.548,2.9,1.6,0.8,0,1.8,5.1,Gene Visscher 
988,columbia,1981,Ivy,0.615,55.4,Eric Clarke,26,0,29.6,0.556,0,0,0.658,7,0.5,0.5,1.3,0,8.5,Buddy Mahar 
989,st-bonaventure,1981,EAA,0.5,62.5,Eric Crawford,23,3,11.3,0.301,0,0,0.652,1.7,0.9,0.3,0,1.1,3.1,Jim Satalin 
990,houston,1981,SWC,0.758,81.4,Eric Davis,24,2,10.3,0.353,0,0,0.696,0.6,1.3,0.8,0,0.8,1.7,Guy Lewis 
991,houston,1981,SWC,0.758,81.4,Eric Dickens,14,0,6.6,0.469,0,0,0.333,0.6,0.9,0.4,0.1,0.7,2.2,Guy Lewis 
992,st-bonaventure,1981,EAA,0.5,62.5,Eric Franz,10,0,3,0,0,0,0,0.4,0.7,0.2,0,0.5,0,Jim Satalin 
993,old-dominion,1981,ECACS,0.6,68.9,Eric Griekspoor,14,0,3.8,0.364,0,0,0.364,1.6,0.2,0.1,0.1,0.4,0.9,Paul Webb 
994,evansville,1981,MW City,0.793,71.8,Eric Harris,29,29,33.8,0.559,0,0,0.773,2.2,3.1,1.8,0.2,2.5,10,Dick Walters 
995,hofstra,1981,ECC,0.429,63.5,Eric Harvey,27,0,30.6,0.456,0,0,0.764,3.1,3.5,2.1,0.3,2.9,10,Dick Berg 
996,bucknell,1981,ECC,0.259,62.1,Eric Hegedus,10,0,4,0.417,0,0,0.5,0.4,0,0.2,0.2,0,1.1,Charles Woollum 
997,ohio,1981,MAC,0.481,64.1,Eric Hilton,27,0,17.3,0.534,0,0,0.639,1.3,2.4,0,0,2.1,6.1,Danny Nee 
998,western-illinois,1981,Ind,0.519,79.4,Eric Jackson,27,0,0,0.524,0,0,0.833,2.3,3.7,0.7,0.2,2.7,11.7,Jack Margenthaler 
999,northeastern,1981,ECACN,0.767,69.8,Eric Jefferson,30,0,31.8,0.429,0,0,0.682,5.5,3,0,0,0,10.4,Jim Calhoun 
1000,colgate,1981,ECACN,0.32,58,Eric Jones,21,19,23.4,0.493,0,0,0.828,3,0.9,0.7,0.7,2.6,9.1,Mike Griffin 
1001,ohio,1981,MAC,0.481,64.1,Eric Key,4,0,4.8,0.5,0,0,0.6,1,0,0,0,1.8,1.8,Danny Nee 
1002,mississippi,1981,SEC,0.6,59.5,Eric Laird,30,0,30.9,0.486,0,0,0.692,2.2,1.4,1,0.1,0,8,Bob Weltlich 
1003,georgia,1981,SEC,0.613,69.4,Eric Marbury,31,27,24.9,0.449,0,0,0.761,1.9,2.1,0.7,0.1,1.9,10.4,Hugh Durham 
1004,utah-state,1981,PCAA,0.148,67.4,Eric Petersen,14,8,19.1,0.414,0,0,0.667,3.2,0.5,0.4,0,1.2,5.3,Rod Tueller 
1005,alabama,1981,SEC,0.774,76.6,Eric Richardson,30,0,0,0.466,0,0,0.718,2,3.3,0,0,0,6.9,Wimp Sanderson 
1006,long-island-university,1981,ECACM,0.667,86.8,Eric Short,30,0,0,0.455,0,0,0.711,4.2,3.3,1.1,0.4,0,9.9,Paul Lizzo 
1007,san-francisco,1981,WCAC,0.806,81.5,Eric Slaymaker,31,0,14.3,0.383,0,0,0.735,0.7,2,0.3,0,0.9,3.1,Peter Barry 
1008,georgetown,1981,Big East,0.811,67.6,Eric Smith,37,37,31.5,0.48,0,0,0.679,3.1,3.1,2,0.1,2.5,9.5,John Thompson 
1009,maryland-eastern-shore,1981,MEAC,0.231,63.3,Eric Spencer,25,0,0,0.361,0,0,0.5,1.7,0,0,0,0,4.1,Kirkland Hall 
1010,st-bonaventure,1981,EAA,0.5,62.5,Eric Stover,25,22,28.8,0.529,0,0,0.583,6,1.2,0.9,1.8,1.9,8.6,Jim Satalin 
1011,michigan,1981,Big Ten,0.259,61.9,Eric Turner,27,27,36.9,0.475,0,0,0.637,2.1,4.4,1.4,0.1,4.4,14.7,Bill Frieder 
1012,saint-marys-ca,1981,WCAC,0.407,71.2,Eric Vial,5,3,13,0.429,0,0,0,2.6,0.2,0,0.8,0.4,2.4,Bill Oates 
1013,northern-arizona,1981,Big Sky,0.231,61.5,Eric Wade,26,25,31.1,0.467,0,0,0.743,2.7,0.5,2,0.1,2.5,10.7,Gene Visscher 
1014,eastern-michigan,1981,MAC,0.556,67.1,Eric Watson,27,0,17.5,0.484,0,0,0.826,1.1,2.6,0.7,0,0,2.9,Jim Boyce 
1015,syracuse,1981,Big East,0.552,79.2,Erich Santifer,29,0,0,0.558,0,0,0.744,5.6,1.9,0,0,0,17,Jim Boeheim 
1016,delaware-state,1981,MEAC,0.5,70.2,Erik Donaldson,25,0,0,0.588,0,0,0.733,1.1,0,0,0,0,2,Ajac Triplett 
1017,new-mexico-state,1981,MVC,0.607,68.8,Ernest Patterson,28,27,32,0.491,0,0,0.656,3.6,3.6,1.3,0.3,4.1,13.9,Weldon Drew 
1018,holy-cross,1981,ECACN,0.593,69.1,Ernie Floyd,19,10,0,0.557,0,0,0.526,5.6,0.3,0.6,0.6,1.8,9.3,George Blaney 
1019,eastern-kentucky,1981,OVC,0.192,62.2,Ervin Stepp,10,0,11.3,0.353,0,0,0.5,0.7,0.5,0.2,0.1,1.1,3,Max Good 
1020,air-force,1981,WAC,0.296,51.1,Erwin Washington,27,23,32.2,0.395,0,0,0.659,4,2.1,0.8,0.3,0,7.7,Hank Egan 
1021,florida,1981,SEC,0.185,68.3,Eugene McDowell,27,0,33.2,0.528,0,0,0.519,8.8,1.1,0.4,1.3,2.3,9.9,Norm Sloan 
1022,arkansas,1981,SWC,0.793,70.8,Eugene Nash,12,0,1.7,0,0,0,0,0.2,0.1,0,0,0.1,0,Eddie Sutton 
1023,new-orleans,1981,Ind,0.692,73.8,Eugene Washington,25,0,11.7,0.373,0,0,0.561,1.1,2,0.5,0.1,1.7,2.4,Don Smith 
1024,michigan-state,1981,Big Ten,0.393,58.8,Evaristo Perez,20,4,10.8,0.577,0,0,0.435,1.6,0.2,0.2,0.2,0,2,Jud Heathcote 
1025,arkansas-little-rock,1981,A-Sun,0.704,72.6,Ezelle Rivers,9,0,4.1,0.25,0,0,0.6,1,0.2,0,0,0.6,0.8,Ron Kestenbaum 
1026,san-francisco,1981,WCAC,0.806,81.5,Farley Gates,7,0,3,0.5,0,0,0,1.1,0.1,0,0,0.1,0.6,Peter Barry 
1027,arizona-state,1981,Pac-10,0.481,65.3,Fat Lever,27,27,38.2,0.454,0,0,0.818,5.4,3.9,2.8,0.5,2.5,16.3,Ned Wulk 
1028,citadel,1981,Southern,0.5,67.9,Felipe De Las Pozas,28,0,0,0.489,0,0,0.836,2.7,1,1,0.3,0,13.5,Les Robinson 
1029,american,1981,ECC,0.7,75.2,Fernando Aunon,29,15,17.8,0.621,0,0,0.667,3,0.4,1.2,0.6,0.8,6.7,Gary Williams 
1030,charlotte,1981,Sun Belt,0.556,72.6,Flagge Stanfield,1,0,1,0,0,0,0,0,0,0,0,0,0,Mike Pratt 
1031,washington,1981,Pac-10,0.655,67,Flosi Sigurdsson,13,0,3.9,0.4,0,0,0.5,1.2,0.2,0,0.1,0.5,0.8,Marv Harshman 
1032,robert-morris,1981,ECACM,0.567,71.1,Forest Grant,30,0,0,0.487,0,0,0.857,3.9,6.3,2.7,1,2.9,14,Matt Furjanic 
1033,loyola-marymount,1981,WCAC,0.111,74,Forrest McKenzie,27,0,29.8,0.49,0,0,0.884,5,1.1,0.9,0.3,2.1,13.9,Ed Goorjian 
1034,pennsylvania,1981,Ivy,0.63,64.7,Fran McCaffery,27,0,28,0.356,0,0,0.583,1.7,3.9,1.9,0.1,2,2.7,Bob Weinhauer 
1035,creighton,1981,MVC,0.259,63.6,Francis Curtis,4,0,2,0.75,0,0,0,0.3,0,0,0,0,1.5,Willie Reed 
1036,eastern-kentucky,1981,OVC,0.192,62.2,Frank Baines,25,0,23.4,0.437,0,0,0.766,3,1.6,0.6,0.1,2.4,10.8,Max Good 
1037,georgia-state,1981,Ind,0.148,61.7,Frank Bennett,26,23,27.4,0.407,0,0,0.825,1.6,1.8,0.9,0.1,1.8,10.6,Jim Jarrett 
1038,stetson,1981,Ind,0.444,70.5,Frank Burnell,26,0,0,0.529,0,0,0.72,5.3,1.6,1.4,0.3,0,18.6,Glenn Wilkes 
1039,villanova,1981,Big East,0.75,73.7,Frank Dobbs,32,0,0,0.41,0,0,0.68,1.2,0.9,0,0,0,3.2,Rollie Massimino 
1040,auburn,1981,SEC,0.5,69.1,Frank Poindexter,27,5,16.6,0.383,0,0,0.887,1.9,1.3,0.4,0.2,1,5.4,Sonny Smith 
1041,utah-state,1981,PCAA,0.148,67.4,Frank Shaw,13,0,3.1,0.417,0,0,0.571,0.5,0.2,0.2,0,0.5,1.1,Rod Tueller 
1042,arizona,1981,Pac-10,0.333,64.1,Frank Smith,27,27,37,0.567,0,0,0.559,7.6,0.4,0.8,0.9,2.3,14.4,Fred Snowden 
1043,north-carolina-wilmington,1981,Ind,0.481,61.9,Frankie Dickens,27,0,0,0.44,0,0,0.732,1.4,2.1,0.7,0,2.8,7.8,Mel Gibson 
1044,saint-marys-ca,1981,WCAC,0.407,71.2,Franklin Rhodes,20,20,24.1,0.469,0,0,0.808,1.3,4.9,1,0.1,2.7,6.4,Bill Oates 
1045,georgetown,1981,Big East,0.811,67.6,Fred Brown,37,37,25.8,0.5,0,0,0.653,3,3.5,2.2,0.2,2.5,5.3,John Thompson 
1046,virginia-commonwealth,1981,Sun Belt,0.607,67.3,Fred Brown,27,3,13.6,0.5,0,0,0.688,3,0.3,0.4,0.1,1.3,3.1,J.D. Barnett 
1047,mcneese-state,1981,Southland,0.483,73,Fred Chaffould,22,0,0,0.527,0,0,0.656,11,1.3,0.5,1,2,15.8,Glenn Duhon 
1048,oregon,1981,Pac-10,0.333,74.4,Fred Cofield,22,21,30.6,0.453,0,0,0.81,2.4,3.5,0.6,0.1,3.5,11.8,Jim Haney 
1049,eastern-kentucky,1981,OVC,0.192,62.2,Fred Emerson,23,0,25.9,0.504,0,0,0.583,5.9,0.6,0.4,0.5,1.5,6.3,Max Good 
1050,old-dominion,1981,ECACS,0.6,68.9,Fred Facka,14,0,4.6,0.455,0,0,0,0.5,0.1,0.1,0,0.3,0.7,Paul Webb 
1051,clemson,1981,ACC,0.5,69.6,Fred Gilliam,28,26,31.4,0.487,0,0,0.829,5.3,1.1,0.5,0.2,1.6,10.7,Bill C. Foster 
1052,portland,1981,WCAC,0.63,65.6,Fred Harris,26,0,12.7,0.473,0,0,0.688,1.5,0.8,0.5,0.2,1,4.4,Jack Avina 
1053,akron,1981,OVC,0.269,62.6,Fred Johnson,26,0,18.1,0.378,0,0,0.683,1.2,2.1,0,0,2.2,3.9,Bob Rupert 
1054,lehigh,1981,ECC,0.346,62.7,Fred Ketcho,26,0,31.2,0.447,0,0,0.831,2.9,2.1,1,0,2.8,10.4,Brian Hill 
1055,rider,1981,ECC,0.407,63.7,Fred Lee,4,4,33.3,0.351,0,0,0.722,2,4.3,1.8,0,2.3,9.8,John Carpenter 
