id,team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
2699,western-carolina,1981,Southern,0.704,75.9,Ronnie Carr,26,25,30.1,0.513,0,0,0.857,3.3,3.1,1.3,0.1,0,18.7,Steve Cottrell 
2700,washington-state,1981,Pac-10,0.533,58.6,Ronnie Joyner,28,0,21,0.571,0,0,0.622,3.3,0.6,0.5,0.2,1.7,7.6,George Raveling 
2701,old-dominion,1981,ECACS,0.6,68.9,Ronnie McAdoo,30,30,36.3,0.482,0,0,0.716,8.4,0.6,0.9,0.2,2.2,14.7,Paul Webb 
2702,marist,1981,ECACM,0.462,77.3,Ronnie Ryan,26,0,0,0.551,0,0,0.63,4.2,0,0,0,0,8,Ron Petro 
2703,florida,1981,SEC,0.185,68.3,Ronnie Williams,27,0,36.8,0.597,0,0,0.728,8.2,1.3,1.1,0.6,3.6,21.3,Norm Sloan 
2704,dayton,1981,Ind,0.7,73.5,Roosevelt Chapman,30,0,36.4,0.517,0,0,0.757,8,3.8,1.4,0.9,3.6,18.1,Don Donoher 
2705,florida-am,1981,MEAC,0.37,64.2,Roosevelt Harper,11,0,0,0.25,0,0,0.688,0.8,0,0,0,0,2.5,Josh Giles 
2706,pittsburgh,1981,EAA,0.667,68.8,Roosevelt Kirby,30,0,31.2,0.43,0,0,0.59,5.1,1.2,0.8,0.3,0,9.1,Roy Chipman 
2707,mississippi-valley-state,1981,SWAC,0.231,70.6,Roosevelt Pritchett,25,0,0,0.471,0,0,0.492,6.2,0,0,0,0,11.5,Pop Gaines 
2708,iona,1981,MAAC,0.727,74.1,Rory Grimes,33,32,35.3,0.437,0,0,0.706,2.2,4.9,2.2,0,3.6,9,Pat Kennedy 
2709,south-alabama,1981,Sun Belt,0.429,72.4,Rory White,28,24,33.5,0.562,0,0,0.703,6.5,1,0.8,0.4,2.2,16.9,Cliff Ellis 
2710,northern-illinois,1981,MAC,0.533,67.8,Ross Kingsley,8,0,0,0.333,0,0,1,0.9,0.8,0,0,0,2.5,John McDougal 
2711,seton-hall,1981,Big East,0.407,72.1,Roy Brooks,9,0,2.8,0.3,0,0,0.5,1.3,0.1,0.1,0,0.1,1.1,Hoddy Mahon 
2712,eastern-illinois,1981,Ind,0.519,69.5,Roy Gough,9,0,8.4,0.476,0,0,0.6,2.4,0.1,0.2,0,1.1,2.9,Rick Samuels 
2713,rutgers,1981,EAA,0.667,59.2,Roy Hinson,30,0,33.8,0.484,0,0,0.588,7.2,0.9,0.4,2.5,0,12.5,Tom Young 
2714,texas-am,1981,SWC,0.645,72.2,Roy Jones,15,0,28.3,0.489,0,0,0.571,4.3,1.3,0.7,0.6,1,7.1,Shelby Metcalf 
2715,louisiana-lafayette,1981,Southland,0.75,76.9,Roy McGrew,23,0,6.3,0.422,0,0,0.706,1,1,0.4,0,0.4,2.9,Bobby Paschal 
2716,jackson-state,1981,SWAC,0.679,70.6,Roy Myers,20,0,5.7,0.308,0,0,0.111,1.1,0.1,0.2,0,0.3,0.5,Paul Covington 
2717,samford,1981,A-Sun,0.423,67.9,Roy Phillips,11,0,0,0.588,0,0,0.857,0.8,0.2,0,0,0,2.4,Mike Hanks 
2718,detroit-mercy,1981,MW City,0.37,68.4,Roy Simms,27,0,11.4,0.545,0,0,0.563,1.1,2,0.7,0.2,1.3,2,Willie McCarter 
2719,weber-state,1981,Big Sky,0.536,69.7,Royal Edwards,28,28,35.4,0.538,0,0,0.67,8,3.3,1,0.2,2.9,13,Neil McCarthy 
2720,oklahoma-city,1981,MW City,0.5,62.8,Rubin Jackson,26,0,35.8,0.47,0,0,0.711,6.3,2.2,2,0.7,3,18.4,Lonnie Nichols 
2721,texas-am,1981,SWC,0.645,72.2,Rudy Woods,31,0,26.8,0.535,0,0,0.632,7.8,0.7,1.4,1.5,1.1,10.8,Shelby Metcalf 
2722,marist,1981,ECACM,0.462,77.3,Rufus Cooper,20,0,0,0.457,0,0,0.586,0.8,0,0,0,0,3,Ron Petro 
2723,baylor,1981,SWC,0.607,64.4,Russ Capps,7,0,11.7,0.375,0,0,1,0.3,0,0.4,0,0.7,1.1,Jim Haller 
2724,campbell,1981,Ind,0.407,61.4,Russ Elbaum,22,0,0,0.316,0,0,0.5,1.9,0,0,0,0,1.7,Danny Roberts 
2725,chattanooga,1981,Southern,0.871,72.6,Russ Schoene,31,30,32.1,0.551,0,0,0.655,7,0.8,1.1,0.7,1.6,13.6,Murray Arnold 
2726,colorado,1981,Big 8,0.407,69,Russ Tearney,11,0,4.3,0.231,0,0,0,0.5,0.2,0.1,0.1,0.4,0.5,Tom Apke 
2727,west-virginia,1981,EAA,0.871,74.2,Russel Todd,31,0,31.4,0.518,0,0,0.677,5.5,1.2,0.9,0.4,1.4,11.2,Gale Catlett 
2728,purdue,1981,Big Ten,0.563,66.4,Russell Cross,32,31,35.7,0.571,0,0,0.624,6.4,1.2,0.5,1.5,0,14.8,Gene Keady 
2729,long-island-university,1981,ECACM,0.667,86.8,Russell Davis,30,0,0,0.604,0,0,0.664,5.8,1.1,1.1,1,0,11.8,Paul Lizzo 
2730,oklahoma-city,1981,MW City,0.5,62.8,Rusty Davis,28,0,32.1,0.537,0,0,0.66,6.5,0.9,0.7,0.3,1.3,6.9,Lonnie Nichols 
2731,san-diego,1981,WCAC,0.423,63.8,Rusty Whitmarsh,26,0,34.5,0.483,0,0,0.824,2.2,2.8,1.1,0.5,2,10.2,Jim Brovelli 
2732,california-santa-barbara,1981,PCAA,0.385,67.6,Sam Brumfield,15,0,12.1,0.273,0,0,0.667,1.9,0.2,0.2,0.3,1.3,1.5,Ed DeLacy 
2733,fresno-state,1981,PCAA,0.9,59.6,Sam Donnell,4,0,2.3,1,0,0,0,0.5,0,0,0.5,0,1,Tiny Grant 
2734,auburn,1981,SEC,0.5,69.1,Sam Fitten,5,0,2.2,0.8,0,0,0,0,0,0,0,0.4,1.6,Sonny Smith 
