player_name,team,season,conference,coach,win_pcnt,avg_pts_game,number_of_games_in_season,num_games_started,avg_min_per_game,fg_percent,_2pt_pcnt,_3pt_pcnt,ft_pcnt,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_personal_fouls,avg_points_per_game
P.J. Hairston,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,37.0,0.0,13.0,0.308,0.39,0.273,0.839,2.2,0.8,0.4,0.2,1.5,5.7
Reggie Bullock,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,38.0,18.0,25.4,0.428,0.51,0.382,0.727,5.1,1.4,0.7,0.2,1.2,8.8
Stilman White,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,34.0,2.0,5.8,0.2,0.273,0.158,0.583,0.4,0.9,0.2,0.0,0.9,0.9
John Henson,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,35.0,34.0,29.1,0.5,0.5,0.0,0.511,9.9,1.3,0.6,2.9,1.6,13.7
James Michael McAdoo,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,38.0,3.0,15.6,0.434,0.434,0.0,0.638,3.9,0.3,0.9,0.3,1.4,6.1
Jackson Simmons,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,23.0,0.0,1.8,0.412,0.412,0.0,0.25,0.7,0.0,0.0,0.0,0.0,0.7
Desmond Hubert,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,25.0,0.0,4.9,0.444,0.444,0.0,0.077,1.5,0.2,0.1,0.2,0.7,0.7
Tyler Zeller,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,38.0,38.0,28.2,0.553,0.553,0.0,0.808,9.6,0.9,0.9,1.5,2.7,16.3
Justin Watts,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,38.0,1.0,7.2,0.422,0.462,0.167,0.368,1.3,0.2,0.3,0.1,0.7,1.2
Dexter Strickland,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,19.0,19.0,24.3,0.57,0.582,0.0,0.667,2.1,2.1,1.3,0.2,1.5,7.5
Harrison Barnes,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,38.0,37.0,29.2,0.44,0.469,0.358,0.723,5.2,1.1,1.1,0.3,1.8,17.1
Kendall Marshall,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,36.0,35.0,33.0,0.467,0.527,0.354,0.696,2.6,9.8,1.2,0.2,1.6,8.1
Tyler Zeller,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,37.0,35.0,28.1,0.549,0.549,0.0,0.759,7.2,0.6,0.7,1.2,2.7,15.8
D.J. Johnston,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,13.0,1.0,1.6,0.25,0.286,0.0,0.0,0.6,0.1,0.0,0.1,0.0,0.3
Daniel Bolick,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,14.0,1.0,1.4,0.25,0.333,0.0,1.0,0.4,0.1,0.0,0.0,0.1,0.4
John Henson,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,37.0,36.0,26.7,0.5,0.506,0.167,0.482,10.1,0.8,0.6,3.2,1.8,11.7
Justin Knox,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,37.0,1.0,14.4,0.525,0.525,0.0,0.642,3.2,0.4,0.2,0.3,1.9,4.6
Kendall Marshall,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,37.0,20.0,24.6,0.42,0.434,0.385,0.69,2.1,6.2,1.1,0.1,1.4,6.2
Larry Drew,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,21.0,17.0,22.8,0.384,0.474,0.207,0.677,2.3,3.9,1.1,0.0,2.0,4.4
Patrick Crouch,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,12.0,0.0,1.7,0.5,0.6,0.333,0.0,0.1,0.0,0.0,0.0,0.4,0.8
Leslie McDonald,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,36.0,0.0,15.7,0.386,0.393,0.381,0.744,2.1,0.6,0.5,0.1,1.8,7.0
Justin Watts,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,34.0,0.0,9.2,0.375,0.4,0.333,0.533,1.9,0.5,0.1,0.1,0.9,1.9
Dexter Strickland,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,37.0,36.0,27.0,0.456,0.494,0.25,0.686,3.1,2.2,1.2,0.0,1.9,7.5
Harrison Barnes,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,37.0,36.0,29.4,0.421,0.47,0.344,0.75,5.8,1.4,0.7,0.4,1.9,15.6
Reggie Bullock,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,27.0,0.0,14.5,0.367,0.465,0.296,0.565,2.8,0.6,0.7,0.1,0.9,6.1
David Dupont,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,12.0,0.0,1.5,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.1,0.0
Stewart Cooper,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,12.0,0.0,1.4,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.2,0.0
Van Hatchell,UNC Tar Heels,2010,ACC,Roy Williams,0.784,77.5,11.0,1.0,1.5,0.0,0.0,0.0,0.5,0.4,0.1,0.0,0.0,0.2,0.1
John Henson,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,37.0,12.0,15.8,0.486,0.515,0.222,0.438,4.4,0.9,0.7,1.6,1.1,5.7
Marcus Ginyard,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,33.0,31.0,30.6,0.406,0.462,0.309,0.671,4.9,2.8,1.2,0.1,1.7,7.7
Thomas Thornton,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,12.0,1.0,2.3,0.333,0.0,0.4,0.0,0.3,0.1,0.1,0.0,0.3,0.5
Dexter Strickland,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,36.0,4.0,17.3,0.432,0.488,0.235,0.692,1.5,2.0,0.9,0.1,1.7,5.4
Justin Watts,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,23.0,2.0,6.2,0.405,0.393,0.444,0.429,0.8,0.8,0.2,0.2,0.5,1.7
Travis Wear,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,32.0,1.0,10.1,0.413,0.414,0.4,0.742,2.2,0.2,0.3,0.1,1.1,3.5
James Gallagher,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,12.0,1.0,1.8,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.1,0.0
Ed Davis,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,23.0,23.0,27.9,0.578,0.578,0.0,0.659,9.6,1.0,0.4,2.8,1.8,13.4
Deon Thompson,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,37.0,37.0,26.9,0.484,0.486,0.0,0.693,6.7,0.8,1.1,1.0,2.2,13.7
Terrence Petree,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,12.0,0.0,1.6,0.75,0.75,0.0,0.0,0.5,0.1,0.0,0.0,0.1,0.5
Tyler Zeller,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,27.0,0.0,17.3,0.521,0.526,0.0,0.722,4.6,0.3,0.5,0.9,1.8,9.3
William Graves,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,36.0,34.0,24.3,0.366,0.362,0.369,0.806,4.6,1.0,0.6,0.2,1.7,9.8
Larry Drew,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,37.0,36.0,28.8,0.405,0.442,0.352,0.606,2.7,5.9,0.8,0.0,1.9,8.5
Leslie McDonald,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,34.0,0.0,10.3,0.309,0.373,0.208,0.655,1.5,0.6,0.2,0.1,0.9,3.4
David Wear,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,27.0,2.0,10.4,0.437,0.418,0.5,0.563,1.7,0.4,0.3,0.1,0.7,2.9
Marc Campbell,UNC Tar Heels,2009,ACC,Roy Williams,0.541,74.5,12.0,1.0,2.8,0.167,0.0,0.2,0.5,0.1,0.3,0.3,0.0,0.1,0.3
Deon Thompson,UNC Tar Heels,2008,ACC,Roy Williams,0.895,89.8,38.0,37.0,24.8,0.492,0.492,0.0,0.646,5.7,0.7,0.9,1.1,2.2,10.6
Danny Green,UNC Tar Heels,2008,ACC,Roy Williams,0.895,89.8,38.0,38.0,27.4,0.471,0.517,0.418,0.852,4.7,2.7,1.8,1.3,2.2,13.1
J.B. Tanner,UNC Tar Heels,2008,ACC,Roy Williams,0.895,89.8,21.0,0.0,2.1,0.421,0.6,0.357,0.333,0.3,0.0,0.0,0.0,0.2,1.1
Larry Drew,UNC Tar Heels,2008,ACC,Roy Williams,0.895,89.8,38.0,0.0,9.6,0.351,0.452,0.231,0.412,1.1,1.9,0.4,0.0,0.9,1.4
Jack Wooten,UNC Tar Heels,2008,ACC,Roy Williams,0.895,89.8,19.0,0.0,1.9,0.364,0.5,0.2,0.25,0.3,0.1,0.0,0.0,0.1,0.5
